18937,MARINA ONE WEST TOWER,
18947,CITIBANK Marina Bay Cruise Centre,
18961,ASIA SQUARE TOWER 2,
18979,MARINA ONE RESIDENCES,
18985,THE SAIL @ MARINA BAY,
38987,EMBASSY OF THE KINGDOM OF SPAIN,
48423,CHINA SQUARE CENTRAL,
48441,CHINA SQUARE FOOD CENTRE,
48462,AMOY HOTEL,
48580,6 RAFFLES QUAY SINGAPORE 048580,
48623,CIMB BANK BERHAD Singapore Land Tower,
48692,CONSULATE OF THE UNION OF THE COMOROS,
48817,3 NORTH CANAL ROAD SINGAPORE 048817,
48818,BOAT QUAY CONSERVATION AREA,
48822,BOAT QUAY CONSERVATION AREA,
49024,BOAT QUAY CONSERVATION AREA,
49034,BOAT QUAY CONSERVATION AREA,
49036,BOAT QUAY CONSERVATION AREA,
49037,BOAT QUAY CONSERVATION AREA,
49359,BOAT QUAY CONSERVATION AREA,
49366,BOAT QUAY CONSERVATION AREA,
49381,BOAT QUAY CONSERVATION AREA,
49388,BOAT QUAY CONSERVATION AREA,
49392,BOAT QUAY CONSERVATION AREA,
49396,BOAT QUAY CONSERVATION AREA,
49401,BOAT QUAY CONSERVATION AREA,
49418,BOAT QUAY CONSERVATION AREA,
49422,BOAT QUAY CONSERVATION AREA,
49444,BOAT QUAY CONSERVATION AREA,
49514,OCBC CENTRE EAST,
49515,OCBC CENTRE,
49560,FAR EAST SQUARE,
49817,BOAT QUAY CONSERVATION AREA,
49820,31 BOAT QUAY SINGAPORE 049820,
49823,BOAT QUAY CONSERVATION AREA,
49837,BOAT QUAY CONSERVATION AREA,
49849,BOAT QUAY CONSERVATION AREA,
49857,BOAT QUAY CONSERVATION AREA,
49858,BOAT QUAY CONSERVATION AREA,
49864,76 BOAT QUAY SINGAPORE 049864,
49865,BOAT QUAY CONSERVATION AREA,
49907,MAYBANK Maybank Tower,
50032,DBS People's Park Complex Food Centre,
50033,MULTI STOREY CAR PARK,
50536,HDB-CENTRAL AREA,
58326,KRETA AYER CONSERVATION AREA,
58340,34 UPPER CROSS STREET SINGAPORE 058340,
58409,11 UPPER CIRCULAR ROAD SINGAPORE 058409,
58463,KRETA AYER CONSERVATION AREA,
58471,KRETA AYER CONSERVATION AREA,
58556,KRETA AYER CONSERVATION AREA,
58557,KRETA AYER CONSERVATION AREA,
58592,KRETA AYER CONSERVATION AREA,
58596,KRETA AYER CONSERVATION AREA,
58600,KRETA AYER CONSERVATION AREA,
58603,KRETA AYER CONSERVATION AREA,
58667,TELOK AYER CONSERVATION AREA,
58669,BOAT QUAY CONSERVATION AREA,
58677,BOAT QUAY CONSERVATION AREA,
58689,HOTEL CLOVER THE ARTS,
58705,BOAT QUAY CONSERVATION AREA,
58708,TKH BUILDING,
58714,LEUNG KAI FOOK BUILDING,
58774,TELOK AYER CONSERVATION AREA,
58776,227 SOUTH BRIDGE ROAD SINGAPORE 058776,
58817,KRETA AYER CONSERVATION AREA,
58818,5FOOTWAY.INN PROJECT ANN SIANG,
58823,KRETA AYER CONSERVATION AREA,
58827,KRETA AYER CONSERVATION AREA,
58836,291 SOUTH BRIDGE ROAD SINGAPORE 058836,
58919,5 SMITH STREET SINGAPORE 058919,
58940,KRETA AYER CONSERVATION AREA,
58950,KRETA AYER CONSERVATION AREA,
58957,KRETA AYER CONSERVATION AREA,
59018,KRETA AYER CONSERVATION AREA,
59020,KRETA AYER CONSERVATION AREA,
59028,KRETA AYER CONSERVATION AREA,
59204,PAGODA HOUSE,
59207,CHINATOWN HERITAGE CENTRE,
59227,KRETA AYER CONSERVATION AREA,
59291,35 NORTH CANAL ROAD SINGAPORE 059291,
59383,11 NEW BRIDGE ROAD SINGAPORE 059383,
59386,17 NEW BRIDGE ROAD SINGAPORE 059386,
59418,HOTEL 81 - CHINATOWN,
59429,KRETA AYER CONSERVATION AREA,
59436,KRETA AYER CONSERVATION AREA,
59441,KRETA AYER CONSERVATION AREA,
59487,KRETA AYER CONSERVATION AREA,
59492,KRETA AYER CONSERVATION AREA,
59518,40 MOSQUE STREET SINGAPORE 059518,
59568,PO CHIAK KENG TEMPLE,
59571,CENTRAL MALL,
59608,COLUMBIA JUNIOR ACADEMY PTE. LTD.,
59652,9 HONGKONG STREET SINGAPORE 059652,
59667,28 HONGKONG STREET SINGAPORE 059667,
59680,41 HONGKONG STREET SINGAPORE 059680,
59724,COMMUNITY JUSTICE CENTRE (CJC),
59805,YUE HWA (NAM TIN) BUILDING,
59909,30 CARPENTER STREET SINGAPORE 059909,
59963,TEMPORARY SITE OFFICE,
68580,TELOK AYER CONSERVATION AREA,
68599,TELOK AYER CONSERVATION AREA,
68607,TELOK AYER CONSERVATION AREA,
68612,TELOK AYER CONSERVATION AREA,
68628,TELOK AYER CONSERVATION AREA,
68637,TELOK AYER CONSERVATION AREA,
68723,TELOK AYER CONSERVATION AREA,
68730,TELOK AYER CONSERVATION AREA,
68738,TELOK AYER CONSERVATION AREA,
68877,CITY HOUSE,
68897,79 ROBINSON ROAD SINGAPORE 068897,
68911,ROBINSON POINT,
68979,23 MOHAMED ALI LANE SINGAPORE 068979,
69255,18 GEMMILL LANE SINGAPORE 069255,
69328,THE SCARLET HOTEL,
69331,THE SCARLET HOTEL,
69470,30 CLUB STREET SINGAPORE 069470,
69544,FAR EASTERN BANK BUILDING,
69545,158 CECIL STREET SINGAPORE 069545,
69547,FRASERS TOWER,
69621,TELOK AYER CONSERVATION AREA,
69688,TELOK AYER CONSERVATION AREA,
69700,TELOK AYER CONSERVATION AREA,
69715,TELOK AYER CONSERVATION AREA,
